Book,Author,Avg_Rating,Num_Ratings
The Raj Quartet,Paul Scott,4.48,995.0
Living The Best Day Ever,Hendri Coetzee,4.34,997.0
"Hometown Girl After All (Hometown, #2)",Kirsten Fullmer,4.32,999.0
"Hometown Girl After All (Hometown, #2)",Kirsten Fullmer,4.32,999.0
Glucose Control Eating: Lose Weight Stay Slimmer Live Healthier Live Longer,Rick Mystrom,4.31,984.0
The Chain Between Worlds (The Lost Artefacts #1),Johnathon Nicolaou,4.62,915.0
Ryan White: My Own Story,Ryan White,4.27,971.0
"Christmas in Smithville (Hometown, #4)",Kirsten Fullmer,4.3,964.0
"Proud Pada (The Last Lumenian, #3)",S.G. Blaise,4.33,950.0
The Search for Mother Missing: A Peek Inside International Adoption (Adoption Books for Adults),Janine Vance,4.46,921.0
